Date,MSCI.World,MSCI.EmergingMarkets,SP500,US10Y,DE10Y,SP.InvestmentGrade,SP.HighYield,MSCI.World.RealEstate,MSCI.US.RealEstate
6/15/2001,-0.005629805,-0.006815589,-0.003762056,0.003460757,0.007053514,0.001439845,-0.004376913,-0.001364996,0.018138685
6/18/2001,-0.006790417,-0.020116452,-0.005290871,-0.000719942,0.000565253,-0.003060748,-0.002001651,-0.001292003,-0.0014655
6/19/2001,0.000570974,-0.000578691,0.004375982,0.000144164,0.001639121,-0.002197627,-0.004151268,-8.48446E-05,0.000514228
6/20/2001,0.002247466,-0.003045051,0.008783631,0.000828921,-0.001409376,-3.44412E-05,-0.004774245,-0.005022524,-0.000607927
6/21/2001,0.00827249,0.008384701,0.011673346,0.002501557,0.001068128,0.002111287,-0.006034076,-0.009939002,-0.014212152
6/22/2001,-0.003136288,0.002609949,-0.009669243,0.001156015,0.004072683,0.002179927,0.002004512,0.003169624,0.002703031
6/25/2001,-0.002636238,-0.000979796,-0.005303072,0.006045924,0.001299939,0.005470963,0.001400921,0.001441909,-0.004221515
6/26/2001,-0.006249637,-0.004641581,-0.001289078,-0.000394137,0.000332653,0.000871088,-0.000970885,0.000754753,0.004902319
6/27/2001,-0.003899826,0.001340102,-0.005140151,-0.005319174,-0.001174589,-0.005163996,-0.00271225,0.001235869,-0.004740251
6/28/2001,0.005559241,-0.005853222,0.013068549,-0.00044572,0.001384628,-0.000797291,0.000913082,-0.002992095,-0.001465541
6/29/2001,0.003978729,0.010856696,-0.001881782,-0.007329701,-0.003533618,-0.004342167,0.000780237,-0.0068495,-0.008201636
7/2/2001,0.009359009,0.003315504,0.010445584,-0.004751354,-0.00628698,-0.004076423,0.002012572,0.017068314,0.004252912
7/3/2001,-0.004692976,-0.008152014,-0.001819821,0.004715728,0.001310048,0.005524536,0.000478216,-0.005589402,0.00016307
7/4/2001,-0.003324354,-0.007702897,8.72195E-05,-0.003274852,-0.002724619,-0.002172524,0.0014926,0.003783912,-0.007085729
7/5/2001,-0.015000832,-0.007082876,-0.012413091,0.000598692,0.000715505,8.12727E-05,0.001000784,0.005733381,-0.000237344
7/6/2001,-0.01948626,-0.015439513,-0.023964508,-0.002167987,0.001261889,-0.002277941,-0.001109173,-0.007693098,-0.007189257
7/9/2001,0.005347611,-0.006330858,0.006570796,0.004712603,0.002818926,0.003786483,0.001085229,-0.010132258,-0.008341487
7/10/2001,-0.005626103,-0.005880207,-0.014591558,0.001487177,-0.002768452,0.001526411,-6.18689E-05,-0.009550531,0.000670974
7/11/2001,-0.003368789,-0.02043076,-0.001157621,0.00461761,0.001004798,0.003959938,0.000379896,0.0050414,0.006887794
7/12/2001,0.015993023,0.008058714,0.023572657,0.000407008,0.003608967,-0.00120145,-0.001602347,-0.004046971,0.008638107
7/13/2001,0.004550895,-0.005054024,0.005953144,0.004254064,-0.001136582,0.002435825,0.00037785,0.006568812,-0.004324825
7/16/2001,-0.005675703,-0.00846016,-0.010904384,0.001027557,-0.000136571,0.000869767,0.000829468,0.000850654,0.002394786
7/17/2001,-6.67038E-05,0.000658576,0.010136535,0.004982578,0.001719965,0.003794915,-0.000621488,5.39234E-05,-0.000262331
7/18/2001,-0.00135861,-0.005949288,-0.00544169,-0.000292048,0.000517179,0.000239353,-0.004145274,-0.00571557,-0.00026044
7/19/2001,0.008128673,0.002402642,0.006347345,0.007049226,0.002579516,0.006125877,0.000941606,0.004717743,0.014341074
7/20/2001,-0.003043046,-0.001176655,-0.002842649,-0.000253744,0.00099172,0.000477735,0.00100618,0.004334353,0.007256011
7/23/2001,-0.01227658,-0.000665779,-0.016114065,-0.000514086,0.003649472,0.001679607,0.000458859,-0.000536908,0.008054037
7/24/2001,-0.009747915,-0.007082821,-0.017324199,0.000914724,-0.000475507,0.001104862,0.003240278,-0.008754419,-0.005250765
7/25/2001,0.007490326,0.001319279,0.016463929,0.001001086,-4.46513E-05,0.001477525,-0.000410839,-0.002457251,0.004904374
7/26/2001,0.007414258,0.009535279,0.010628953,-0.00580351,-0.001906595,-0.0046356,2.58778E-05,0.001303549,-0.001558341
7/27/2001,0.005034024,0.004663247,0.00144052,0.00188241,0.002183645,0.001058852,0.002645776,-0.003257728,-0.003665142
7/30/2001,0.000898641,0.003077083,-0.001157871,0.004401071,0.00461797,0.004204154,0.001237362,0.009021929,0.003093724
7/31/2001,0.009590119,0.003144636,0.006583636,0.001678901,0.001409129,0.001692701,0.001887157,-0.005485685,0.003231491
